Link_index	Source	Destination	Capacity(kbps)
0	0	34	1
1	1	6	1
2	1	16	1
3	2	8	1
4	2	14	1
5	2	39	1
6	3	5	1
7	4	9	1
8	4	11	1
9	6	28	1
10	6	34	1
11	7	30	1
12	8	48	1
13	10	30	1
14	10	40	1
15	11	14	1
16	13	19	1
17	14	18	1
18	14	28	1
19	14	36	1
20	14	41	1
21	14	44	1
22	15	22	1
23	15	42	1
24	16	26	1
25	16	34	1
26	16	47	1
27	18	32	1
28	19	24	1
29	19	26	1
30	19	32	1
31	19	46	1
32	20	26	1
33	20	37	1
34	20	48	1
35	21	28	1
36	21	31	1
37	21	47	1
38	25	46	1
39	26	41	1
40	26	45	1
41	28	44	1
42	29	48	1
43	30	39	1
44	31	38	1
45	35	42	1
46	36	42	1
47	39	48	1
