Link_index	Source	Destination	Capacity(kbps)
0	0	3	1
1	0	4	1
2	0	5	1
3	0	18	1
4	0	40	1
5	0	42	1
6	1	3	1
7	1	4	1
8	1	5	1
9	1	13	1
10	1	31	1
11	1	39	1
12	2	3	1
13	2	13	1
14	3	4	1
15	3	5	1
16	3	6	1
17	3	7	1
18	3	10	1
19	3	15	1
20	3	23	1
21	3	26	1
22	3	47	1
23	4	6	1
24	4	7	1
25	4	8	1
26	4	9	1
27	4	10	1
28	4	12	1
29	4	14	1
30	4	16	1
31	4	20	1
32	4	21	1
33	4	24	1
34	4	32	1
35	4	35	1
36	4	36	1
37	4	43	1
38	5	6	1
39	5	7	1
40	5	10	1
41	5	30	1
42	5	31	1
43	5	32	1
44	5	45	1
45	6	8	1
46	6	9	1
47	6	17	1
48	6	24	1
49	6	29	1
50	7	8	1
51	7	9	1
52	7	11	1
53	7	16	1
54	7	25	1
55	7	27	1
56	7	33	1
57	7	41	1
58	7	45	1
59	7	49	1
60	8	12	1
61	8	13	1
62	8	14	1
63	8	21	1
64	8	24	1
65	8	25	1
66	8	32	1
67	8	35	1
68	9	11	1
69	9	14	1
70	9	28	1
71	9	37	1
72	9	39	1
73	10	11	1
74	10	12	1
75	10	17	1
76	10	23	1
77	10	34	1
78	10	44	1
79	10	46	1
80	10	48	1
81	11	19	1
82	11	20	1
83	11	22	1
84	11	34	1
85	11	39	1
86	11	42	1
87	11	45	1
88	12	15	1
89	12	16	1
90	12	17	1
91	12	19	1
92	12	28	1
93	12	30	1
94	13	15	1
95	13	22	1
96	13	23	1
97	14	21	1
98	14	26	1
99	15	18	1
100	15	25	1
101	15	27	1
102	15	38	1
103	16	48	1
104	17	18	1
105	17	22	1
106	17	44	1
107	18	19	1
108	18	20	1
109	18	27	1
110	19	47	1
111	21	29	1
112	22	26	1
113	22	28	1
114	22	31	1
115	22	38	1
116	23	33	1
117	24	29	1
118	24	37	1
119	25	30	1
120	25	48	1
121	27	33	1
122	27	35	1
123	27	42	1
124	29	46	1
125	31	34	1
126	31	36	1
127	31	41	1
128	32	38	1
129	33	40	1
130	33	43	1
131	34	36	1
132	34	41	1
133	34	44	1
134	34	49	1
135	35	37	1
136	35	46	1
137	37	43	1
138	38	40	1
139	38	49	1
140	44	47	1
